Malawi,MWI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1311.449998,1516.211183,1687.593582,1778.305821,1829.507689
Malaysia,MYS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19479.87996,21324.3595,29822.84918,34366.22848,36416.54019
North America,NAC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,47768.07691,49236.20241,69799.68657,76439.37157,80716.54267
Namibia,NAM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8124.815179,9002.230045,9709.099306,10657.73846,11215.54684
New Caledonia,NCL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Niger,NER,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1010.431846,1064.419174,1585.59922,1839.969097,1890.505186
Nigeria,NGA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3981.658117,4676.408151,5491.700341,5948.726147,6207.421378
Nicaragua,NIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4044.302317,4324.705933,7086.622395,7776.18804,8309.339913
Netherlands,NLD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,46714.34543,47004.13707,68573.56488,77152.22376,78305.28884
Norway,NOR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,62072.75399,62460.09082,88984.13867,122619.2629,100928.3546
Nepal,NPL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1942.152997,2247.997429,4546.2297,5102.992311,5393.620902
Nauru,NRU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5928.485821,6581.543598,12196.64515,13356.204,13831.81197
New Zealand,NZL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,29827.14255,32702.14615,47933.58862,53049.33537,53440.13101
OECD members,OED,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,34247.93315,36043.67924,50762.99332,56267.85385,58482.7617
Oman,OMN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,52841.18895,52393.31358,38719.45877,43244.37714,42519.70499
Other small states,OSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18815.14432,19848.50614,26939.15577,29896.11594,31130.62002
Pakistan,PAK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3721.332936,3879.597769,5367.273647,5920.274307,6036.650769
Panama,PAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14705.37145,17473.76514,30932.76278,36245.14566,39803.31895
Peru,PER,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8820.13901,10462.57704,15282.27364,16657.48972,16974.242
